phi,gamma,category
0.75,0.3,2
0.75,0.41,4
0.75,0.42,4
0.75,0.43,4
0.75,0.44,7
0.75,0.45,1
0.75,0.46,1
0.75,0.47,1
0.75,0.48,1
0.75,0.49,1
0.75,0.4,4
0.75,0.51,1
0.75,0.52,1
0.75,0.53,1
0.75,0.54,1
0.75,0.5,1
0.76,0.21,2
0.76,0.22,2
0.76,0.23,2
0.76,0.24,2
0.76,0.25,2
0.76,0.26,2
0.76,0.27,2
0.76,0.28,2
0.76,0.29,2
0.76,0.2,2
0.76,0.31,2
0.76,0.32,2
0.76,0.33,2
0.76,0.34,2
0.76,0.35,2
0.76,0.36,2
0.76,0.37,2
0.76,0.38,3
0.76,0.39,3
0.76,0.3,2
0.76,0.41,4
0.76,0.42,4
0.76,0.43,4
0.76,0.44,4
0.76,0.45,7
0.76,0.46,1
0.76,0.47,1
0.76,0.48,1
0.76,0.49,1
0.76,0.4,4
0.76,0.51,1
0.76,0.52,1
0.76,0.53,1
0.76,0.54,1
0.76,0.5,1
0.77,0.21,2
0.77,0.22,2
0.77,0.23,2
0.77,0.24,2
0.77,0.25,2
0.77,0.26,2
0.77,0.27,2
0.77,0.28,2
0.77,0.29,2
0.77,0.2,2
0.77,0.31,2
0.77,0.32,2
0.77,0.33,2
0.77,0.34,2
0.77,0.35,2
0.77,0.36,2
0.77,0.37,2
0.77,0.38,2
0.77,0.39,3
0.77,0.3,2
0.77,0.41,4
0.77,0.42,4
0.77,0.43,4
0.77,0.44,4
0.77,0.45,7
0.77,0.46,7
0.77,0.47,1
0.77,0.48,1
0.77,0.49,1
0.77,0.4,3
0.77,0.51,1
0.77,0.52,1
0.77,0.53,1
0.77,0.54,1
0.77,0.5,1
0.78,0.21,2
0.78,0.22,2
0.78,0.23,2
0.78,0.24,2
0.78,0.25,2
0.78,0.26,2
0.78,0.27,2
0.78,0.28,2
0.78,0.29,2
0.78,0.2,2
0.78,0.31,2
0.78,0.32,2
0.78,0.33,2
0.78,0.34,2
0.78,0.35,2
0.78,0.36,2
0.78,0.37,2
0.78,0.38,2
0.78,0.39,2
